,tweets,id,date,source,likes,retweets,Subjectivity,Polarity,Analysis,Tweet_punct,tweet_clean_tokenized,tweet_clean_nostopwords,tweet_ready
0,"What unrest spreading Muzlims dont like
👉Shaheen Bagh activist joins BJP
👉UAEIsrael peace deal
👉Ram Mandir
👉  Scrapped

but they like
👉 HagiaSophia first church then museums conversion to mosque
👉 DelhiRiots
👉 BangluruRiots 
👉Shaheen Bagh Hijack coEFBOWiAlUF",1295072820137885696,2020-08-16 18:59:56,Twitter for Android,0,0,0.3333333333333333,0.25,Positive,"What unrest spreading Muzlims dont like
👉Shaheen Bagh activist joins BJP
👉UAEIsrael peace deal
👉Ram Mandir
👉  Scrapped

but they like
👉 HagiaSophia first church then museums conversion to mosque
👉 DelhiRiots
👉 BangluruRiots 
👉Shaheen Bagh Hijack coEFBOWiAlUF","['what', 'unrest', 'spreading', 'muzlims', 'dont', 'like', 'shaheen', 'bagh', 'activist', 'joins', 'bjp', 'uaeisrael', 'peace', 'deal', 'ram', 'mandir', 'scrapped', 'but', 'they', 'like', 'hagiasophia', 'first', 'church', 'then', 'museums', 'conversion', 'to', 'mosque', 'delhiriots', 'banglururiots', 'shaheen', 'bagh', 'hijack', 'coefbowialuf']","['unrest', 'spreading', 'muzlims', 'dont', 'like', 'shaheen', 'bagh', 'activist', 'joins', 'bjp', 'uaeisrael', 'peace', 'deal', 'ram', 'mandir', 'scrapped', 'like', 'hagiasophia', 'first', 'church', 'museums', 'conversion', 'mosque', 'delhiriots', 'banglururiots', 'shaheen', 'bagh', 'hijack', 'coefbowialuf']",unrest spreading muzlims dont like shaheen bagh activist joins bjp uaeisrael peace deal ram mandir scrapped like hagiasophia first church museums conversion mosque delhiriots banglururiots shaheen bagh hijack coefbowialuf
1," By building Ram Mandir
Melting Liberals 
And distributing Burnol 
to people like you",1295072773765648384,2020-08-16 18:59:45,Twitter for Android,0,0,0.0,0.0,Neutral," By building Ram Mandir
Melting Liberals 
And distributing Burnol 
to people like you","['', 'by', 'building', 'ram', 'mandir', 'melting', 'liberals', 'and', 'distributing', 'burnol', 'to', 'people', 'like', 'you']","['', 'building', 'ram', 'mandir', 'melting', 'liberals', 'distributing', 'burnol', 'people', 'like']",building ram mandir melting liberals distributing burnol people like
2," yeah obviously will do Those places i mentioned were quite long back 
Chota Char Dham Bada char dham  Jyotirlingas all in bucket list 
Have visited Krishna Janmabhoomi waiting for Ram mandir",1295072148319420417,2020-08-16 18:57:16,Twitter Web App,1,0,0.3,-0.016666666666666666,Negative," yeah obviously will do Those places i mentioned were quite long back 
Chota Char Dham Bada char dham  Jyotirlingas all in bucket list 
Have visited Krishna Janmabhoomi waiting for Ram mandir","['', 'yeah', 'obviously', 'will', 'do', 'those', 'places', 'i', 'mentioned', 'were', 'quite', 'long', 'back', 'chota', 'char', 'dham', 'bada', 'char', 'dham', 'jyotirlingas', 'all', 'in', 'bucket', 'list', 'have', 'visited', 'krishna', 'janmabhoomi', 'waiting', 'for', 'ram', 'mandir']","['', 'yeah', 'obviously', 'places', 'mentioned', 'quite', 'long', 'back', 'chota', 'char', 'dham', 'bada', 'char', 'dham', 'jyotirlingas', 'bucket', 'list', 'visited', 'krishna', 'janmabhoomi', 'waiting', 'ram', 'mandir']",yeah obviously places mentioned quite long back chota char dham bada char dham jyotirlingas bucket list visited krishna janmabhoomi waiting ram mandir
3,"samkhans  Modis development 

Demonetization
GST
CAANRC
Ram Mandir
Article  which lead to Kashmir lockdown for more than a year which is completely barbaric 

 years of useless PM",1295072104799285248,2020-08-16 18:57:05,Twitter for Android,0,0,0.3666666666666667,0.033333333333333326,Positive,"samkhans  Modis development 

Demonetization
GST
CAANRC
Ram Mandir
Article  which lead to Kashmir lockdown for more than a year which is completely barbaric 

 years of useless PM","['samkhans', 'modis', 'development', 'demonetization', 'gst', 'caanrc', 'ram', 'mandir', 'article', 'which', 'lead', 'to', 'kashmir', 'lockdown', 'for', 'more', 'than', 'a', 'year', 'which', 'is', 'completely', 'barbaric', 'years', 'of', 'useless', 'pm']","['samkhans', 'modis', 'development', 'demonetization', 'gst', 'caanrc', 'ram', 'mandir', 'article', 'lead', 'kashmir', 'lockdown', 'year', 'completely', 'barbaric', 'years', 'useless', 'pm']",samkhans modis development demonetization gst caanrc ram mandir article lead kashmir lockdown year completely barbaric years useless pm
4,"Tiger    If there is any proof of mandir at the site of mosquereligiously we are bound to give back that place to the rightful claimour prayers at such places are not acceptable
Point i want to make is that This Ram janam bhoomi thing is a totally political issue",1295071422369288192,2020-08-16 18:54:23,Twitter for Android,0,0,0.19999999999999998,0.0,Neutral,"Tiger    If there is any proof of mandir at the site of mosquereligiously we are bound to give back that place to the rightful claimour prayers at such places are not acceptable
Point i want to make is that This Ram janam bhoomi thing is a totally political issue","['tiger', 'if', 'there', 'is', 'any', 'proof', 'of', 'mandir', 'at', 'the', 'site', 'of', 'mosquereligiously', 'we', 'are', 'bound', 'to', 'give', 'back', 'that', 'place', 'to', 'the', 'rightful', 'claimour', 'prayers', 'at', 'such', 'places', 'are', 'not', 'acceptable', 'point', 'i', 'want', 'to', 'make', 'is', 'that', 'this', 'ram', 'janam', 'bhoomi', 'thing', 'is', 'a', 'totally', 'political', 'issue']","['tiger', 'proof', 'mandir', 'site', 'mosquereligiously', 'bound', 'give', 'back', 'place', 'rightful', 'claimour', 'prayers', 'places', 'acceptable', 'point', 'want', 'make', 'ram', 'janam', 'bhoomi', 'thing', 'totally', 'political', 'issue']",tiger proof mandir site mosquereligiously bound give back place rightful claimour prayers places acceptable point want make ram janam bhoomi thing totally political issue
5,"  Hagia Sophia is one of UNESCOs cultural heritage site
If Ram Mandir case was to be judged by ownership of land It may have gone to Muslims
But these have a huge symbolic value and this was a murderous take by him",1295071106756485120,2020-08-16 18:53:07,Twitter Web App,0,0,0.5,0.25000000000000006,Positive,"  Hagia Sophia is one of UNESCOs cultural heritage site
If Ram Mandir case was to be judged by ownership of land It may have gone to Muslims
But these have a huge symbolic value and this was a murderous take by him","['', 'hagia', 'sophia', 'is', 'one', 'of', 'unescos', 'cultural', 'heritage', 'site', 'if', 'ram', 'mandir', 'case', 'was', 'to', 'be', 'judged', 'by', 'ownership', 'of', 'land', 'it', 'may', 'have', 'gone', 'to', 'muslims', 'but', 'these', 'have', 'a', 'huge', 'symbolic', 'value', 'and', 'this', 'was', 'a', 'murderous', 'take', 'by', 'him']","['', 'hagia', 'sophia', 'one', 'unescos', 'cultural', 'heritage', 'site', 'ram', 'mandir', 'case', 'judged', 'ownership', 'land', 'may', 'gone', 'muslims', 'huge', 'symbolic', 'value', 'murderous', 'take']",hagia sophia one unescos cultural heritage site ram mandir case judged ownership land may gone muslims huge symbolic value murderous take
6," bahrain Its a fake propaganda 
It was a RAM Mandir since s of year 
And we all know the history as how amp who it was broken amp structure was built over it 
s of Historical evidences are available to prove this including archeological evidences which help to decide by court",1295070251084906498,2020-08-16 18:49:43,Twitter Web App,0,0,0.38,-0.12,Negative," bahrain Its a fake propaganda 
It was a RAM Mandir since s of year 
And we all know the history as how amp who it was broken amp structure was built over it 
s of Historical evidences are available to prove this including archeological evidences which help to decide by court","['', 'bahrain', 'its', 'a', 'fake', 'propaganda', 'it', 'was', 'a', 'ram', 'mandir', 'since', 's', 'of', 'year', 'and', 'we', 'all', 'know', 'the', 'history', 'as', 'how', 'amp', 'who', 'it', 'was', 'broken', 'amp', 'structure', 'was', 'built', 'over', 'it', 's', 'of', 'historical', 'evidences', 'are', 'available', 'to', 'prove', 'this', 'including', 'archeological', 'evidences', 'which', 'help', 'to', 'decide', 'by', 'court']","['', 'bahrain', 'fake', 'propaganda', 'ram', 'mandir', 'since', 'year', 'know', 'history', 'amp', 'broken', 'amp', 'structure', 'built', 'historical', 'evidences', 'available', 'prove', 'including', 'archeological', 'evidences', 'help', 'decide', 'court']",bahrain fake propaganda ram mandir since year know history amp broken amp structure built historical evidences available prove including archeological evidences help decide court
7,"IND They are planning their move
One thing I like about Amir At least he has made his inclinations known openly How many Hindu actors will do it When Ram Mandir foundation stone laying ceremony was done how many Hindu actors or Bollywood personalities had paid their respects",1295067828941283329,2020-08-16 18:40:06,Twitter for Android,0,0,0.475,0.175,Positive,"IND They are planning their move
One thing I like about Amir At least he has made his inclinations known openly How many Hindu actors will do it When Ram Mandir foundation stone laying ceremony was done how many Hindu actors or Bollywood personalities had paid their respects","['ind', 'they', 'are', 'planning', 'their', 'move', 'one', 'thing', 'i', 'like', 'about', 'amir', 'at', 'least', 'he', 'has', 'made', 'his', 'inclinations', 'known', 'openly', 'how', 'many', 'hindu', 'actors', 'will', 'do', 'it', 'when', 'ram', 'mandir', 'foundation', 'stone', 'laying', 'ceremony', 'was', 'done', 'how', 'many', 'hindu', 'actors', 'or', 'bollywood', 'personalities', 'had', 'paid', 'their', 'respects']","['ind', 'planning', 'move', 'one', 'thing', 'like', 'amir', 'least', 'made', 'inclinations', 'known', 'openly', 'many', 'hindu', 'actors', 'ram', 'mandir', 'foundation', 'stone', 'laying', 'ceremony', 'done', 'many', 'hindu', 'actors', 'bollywood', 'personalities', 'paid', 'respects']",ind planning move one thing like amir least made inclinations known openly many hindu actors ram mandir foundation stone laying ceremony done many hindu actors bollywood personalities paid respects
8," Jammu   Have PatienceHave Faith in BJP
Systems can’t be changed overnight
yrs of mess is been getting solved in last yrsArticleA Ram Mandir Infrastructure Demonetization Blackmoney Smuggling Border IssuesTerrorism Economy State Politicsissues r many all solved",1295067639937675269,2020-08-16 18:39:21,Twitter for iPhone,0,0,0.24722222222222223,0.10833333333333334,Positive," Jammu   Have PatienceHave Faith in BJP
Systems can’t be changed overnight
yrs of mess is been getting solved in last yrsArticleA Ram Mandir Infrastructure Demonetization Blackmoney Smuggling Border IssuesTerrorism Economy State Politicsissues r many all solved","['', 'jammu', 'have', 'patiencehave', 'faith', 'in', 'bjp', 'systems', 'can', 't', 'be', 'changed', 'overnight', 'yrs', 'of', 'mess', 'is', 'been', 'getting', 'solved', 'in', 'last', 'yrsarticlea', 'ram', 'mandir', 'infrastructure', 'demonetization', 'blackmoney', 'smuggling', 'border', 'issuesterrorism', 'economy', 'state', 'politicsissues', 'r', 'many', 'all', 'solved']","['', 'jammu', 'patiencehave', 'faith', 'bjp', 'systems', 'changed', 'overnight', 'yrs', 'mess', 'getting', 'solved', 'last', 'yrsarticlea', 'ram', 'mandir', 'infrastructure', 'demonetization', 'blackmoney', 'smuggling', 'border', 'issuesterrorism', 'economy', 'state', 'politicsissues', 'r', 'many', 'solved']",jammu patiencehave faith bjp systems changed overnight yrs mess getting solved last yrsarticlea ram mandir infrastructure demonetization blackmoney smuggling border issuesterrorism economy state politicsissues r many solved
9," After Ram Mandir it seems BJP forgot preaching of Ramayan 
                      अहंकार",1295067519321956352,2020-08-16 18:38:52,Twitter for Android,0,0,0.0,0.0,Neutral," After Ram Mandir it seems BJP forgot preaching of Ramayan 
                      अहंकार","['', 'after', 'ram', 'mandir', 'it', 'seems', 'bjp', 'forgot', 'preaching', 'of', 'ramayan', 'अह', 'क', 'र']","['', 'ram', 'mandir', 'seems', 'bjp', 'forgot', 'preaching', 'ramayan', 'अह', 'क', 'र']",ram mandir seems bjp forgot preaching ramayan अह क र
